question,context,answer_start,answer
Đội thủ Panthers đã thua bao nhiêu điểm?,"Đội thủ của Panthers chỉ thua 308 điểm, đứng thứ sáu trong giải đấu, đồng thời dẫn đầu NFL về số lần đoạt bóng (intercept) với 24 lần và tự hào với bốn lựa chọn Pro Bowl. Người húc (tackle) trong đội thủ tham gia Pro Bowl, Kawann Short dẫn đầu đội về số lần vật ngã (sack) với 11 lần, đồng thời húc văng bóng (fumble) 3 lần và lấy lại được bóng (recover) 2 lần. Đồng nghiệp lineman Mario Addison đã thêm 6½ lần vật ngã. Đội hình Panthers cũng có người tiền vệ (defensive end) kỳ cựu Jared Allen, người tham gia Pro Bowl 5 lần, dẫn đầu về số lần vật ngã trong sự nghiệp NFL với 136 lần, cùng với người tiền vệ Kony Ealy, người đã có 5 lần vật ngã sau 9 lần xuất phát. Phía sau họ, hai trong số ba người hàng vệ (linebacker) xuất phát của Panthers cũng được chọn để chơi trong Pro Bowl: Thomas Davis và Luke Kuechly. Davis đã có 5½ lần vật ngã, 4 lần húc văng bóng và 4 lần đoạt bóng, trong khi Kuechly dẫn đầu đội về số lần húc (118 lần), 2 lần húc văng bóng và đoạt bóng từ các đường chuyền 4 lần. Đội hình phía sau của Carolina có hậu-hậu vệ (safety) tham gia Pro Bowl Kurt Coleman, người dẫn đầu đội bóng với bảy lần đoạt bóng trong sự nghiệp, đồng thời có 88 cú húc bóng và trung vệ (cornerback) tham gia Pro Bowl Josh Norman, người đã phát triển thành một shutdown corner trong mùa giải và có bốn lần đoạt bóng, hai trong số đó đã trở thành touchdown.",30,308
Ai thua đội Broncos ở vòng bảng?,"Broncos đã đánh bại Pittsburgh Steelers ở vòng bảng với điểm số 23-16, bằng cách ghi 11 điểm trong ba phút cuối cùng của trận đấu. Sau đó, họ đánh bại đương kim vô địch Super Bowl XLIX New England Patriots trong AFC Championship Game với điểm số 20-18, bằng cách đoạt bóng từ đường chuyền trong nỗ lực chuyển đổi 2 điểm của New England với 17 giây còn lại trên đồng hồ. Bất chấp những vấn đề của Manning với việc đoạt bóng trong mùa giải, anh đã không ném bóng trong hai trận đấu playoff của họ.",20,Pittsburgh Steelers
Peyton Manning bao nhiêu tuổi khi anh chơi trong Super Bowl 50?,"Peyton Manning trở thành thủ quân (quaterback) đầu tiên từng dẫn dắt hai đội khác nhau đến nhiều trận đấu Super Bowls. Anh ấy cũng là thủ quân lớn tuổi nhất từng chơi trong trận Super Bowl ở tuổi 39. Kỷ lục trong quá khứ do John Elway nắm giữ, người đã dẫn dắt Broncos giành chiến thắng trong trận Super Bowl XXXIII ở tuổi 38 và hiện là Phó Chủ tịch Điều hành Bóng đá và Tổng Giám đốc của Denver.",196,39
Lady Gaga đã giành được bao nhiêu giải Grammy?,"Người chiến thắng giải Grammy sáu lần và người được đề cử Giải thưởng Viện hàn lâm Lady Gaga đã biểu diễn quốc ca, trong khi người giành Giải thưởng Viện hàn lâm Marlee Matlin cung cấp bản dịch Ngôn ngữ Ký hiệu Mỹ (ASL).",30,sáu
Carolina đã bắt đầu ở vạch nào khi trận đấu còn 4:51?,"Khi thời gian quy định còn lại 4:51, Carolina có bóng ở vạch 24 yard ở phần sân của mình với cơ hội để tổ chức một lượt tấn công ghi điểm, và sớm phải đối mặt với “lượt chơi thứ 3 và phải tiến 9 yard”. Ở lượt chơi tiếp theo, Miller đã tước bóng từ Newton, và sau khi nhiều cầu thủ lao vào quả bóng, quả bóng đã bị bật ngược trở lại và Ward đã lấy lại được bóng, và đã đưa bóng trở lại 5 yard đến vạch 4 yard ở phần sân của Panthers. Mặc dù một số người chơi đã lao vào để cố gắng lấy lại quả bóng, Newton đã không làm thế và sự thiếu tích cực của anh ta sau đó đã khiến anh ta bị chỉ trích nặng nề. Trong khi đó, đội tấn công Denver đã bị giữ ngoài khu vực cấm địa (end zone) trong ba lượt chơi, nhưng lỗi giữ người của trung vệ (cornerback) Josh Norman đã tạo cho Broncos một loạt lượt chơi mới. Sau đó, Anderson đã ghi điểm touchdown từ lượt chơi ở vạch 2 yard và Manning hoàn thành đường chuyền cho Bennie Fowler để có 2 điểm chuyển đổi (2-point conversion), giúp Denver dẫn trước 24-10 khi trận đấu còn lại 3:08 và về cơ bản là đã giành chiến thắng. Carolina đã có thêm hai lượt tấn công, nhưng không thể có lượt chơi đầu tiên nào ở mỗi lượt tấn công.",61,24
Vườn Saxon trong tiếng Ba Lan là gì?,"Gần đó, tại Ogród Saski (Vườn Saxon), Nhà hát Mùa hè đã hoạt động từ năm 1870 đến 1939, và trong giai đoạn giữa hai cuộc chiến tranh, khu phức hợp nhà hát cũng bao gồm Momus, quán rượu văn học đầu tiên của Warsaw và nhà hát nhạc kịch Melodram của Leon Schiller. Nhà hát Wojciech Bogusławski (1922-26) là ví dụ điển hình nhất của ""nhà hát hoành tráng của Ba Lan"". Từ giữa những năm 1930, Học viện Nghệ thuật Kịch nghệ Upati - học viện nghệ thuật kịch nghệ đầu tiên của nhà nước, với một khoa diễn xuất và một khoa chỉ đạo sân khấu, nằm ở tòa nhà Nhà hát Lớn.",12,Ogród Saski
Đội nào đã giành giải vô địch Ekstraklasa vào năm 2000?,"Đối thủ địa phương của họ, Polonia Warsaw, có ít người ủng hộ hơn đáng kể, nhưng họ đã giành được giải vô địch Ekstraklasa vào năm 2000. Họ cũng đã giành được chức vô địch quốc gia vào năm 1946 và cũng giành được cúp hai lần. Sân nhà của Polonia nằm ở Đường Konwiktorka, cách Old Town mười phút đi bộ về phía bắc. Polonia đã rơi khỏi nhóm các đội hàng đầu quốc gia vào năm 2013 vì tình hình tài chính thảm khốc của họ. Hiện tại họ đang chơi ở giải đấu thứ 4 (hạng 5 ở Ba Lan) - giải đấu chuyên nghiệp dưới cùng trong cấu trúc Hiệp hội Bóng đá Quốc gia - Ba Lan (PZPN).",27,Polonia Warsaw
Warsaw thuộc loại thành phố nào khi còn là một thành phố?,"Trong suốt sự tồn tại của mình, Warsaw là một thành phố đa văn hóa. Theo điều tra dân số năm 1901, trong số 711.988 người, 56,2% là người Công giáo, 35,7% người Do Thái, 5% Kitô hữu chính thống Hy Lạp và 2,8% người Tin lành. Tám năm sau, vào năm 1909, có 281.754 người Do Thái (36,9%), 18.189 người Tin lành (2,4%) và 2.818 người Mariavite (0,4%). Điều này dẫn đến việc xây dựng hàng trăm nơi thờ cúng tôn giáo ở mọi nơi trong thị trấn. Hầu hết trong số đó đã bị phá hủy sau hậu quả của Cuộc nổi dậy Warsaw năm 1944. Sau chiến tranh, chính quyền cộng sản mới của Ba Lan không khuyến khích xây dựng nhà thờ và chỉ một số nhỏ được xây dựng lại.",56,đa văn hóa
Đơn vị cơ bản của phân chia lãnh thổ ở Ba Lan là gì?,"Đơn vị cơ bản của phân chia lãnh thổ ở Ba Lan là một xã (gmina). Một thành phố cũng là một xã - nhưng với điều lệ thành phố. Cả thành phố và xã đều do thị trưởng cầm quyền - nhưng ở các xã, thị trưởng là vogt (wójt trong tiếng Ba Lan), còn ở các thành phố là burmistrz. Một số thành phố lớn có được các quyền lợi, tức là các nhiệm vụ và đặc quyền, thuộc sở hữu của các đơn vị cấp hai của việc phân chia lãnh thổ - các quận hoặc powiats. Một ví dụ về quyền lợi như vậy là đăng ký xe: gmina không thể đăng ký xe, đây là nhiệm vụ của powiat (tức là số đăng ký phụ thuộc vào việc xe đã được đăng ký ở powiat nào, chứ không phải gmina). Trong trường hợp này, chúng tôi nói về quận thành phố hoặc powiat grodzki. Những thành phố như vậy chẳng hạn như Lublin, Kraków, Gdańsk, Poznań. Ở Warsaw, các quận trong đó cũng có một số quyền lợi của powiat - giống như đăng ký xe đã đề cập. Ví dụ, quận Wola có bằng chứng riêng và quận Ursynów - riêng của họ (và những chiếc xe từ Wola có một loại số đăng ký khác so với những chiếc xe từ Ursynów). Nhưng ví dụ các quận ở Kraków không có quyền của powiat, vậy thì số đăng ký ở Kraków là cùng loại cho tất cả các quận.",53,xã
Sàn giao dịch chứng khoán đầu tiên của Warsaw được thành lập khi nào?,"Sàn giao dịch chứng khoán đầu tiên của Warsaw được thành lập vào năm 1817 và tiếp tục giao dịch cho đến Thế Chiến II. Nó được tái lập vào tháng 4 năm 1991, sau khi chấm dứt sự kiểm soát của cộng sản sau chiến tranh và tái giới thiệu nền kinh tế thị trường tự do. Ngày nay, theo nhiều chỉ số, Sàn giao dịch Chứng khoán Warsaw (WSE) là thị trường lớn nhất trong khu vực, với 374 công ty được niêm yết và tổng vốn hóa là 162 584 triệu EUR tính đến ngày 31 tháng 8 năm 2009. Từ năm 1991 đến năm 2000, trớ trêu thay, sàn giao dịch chứng khoán nằm trong tòa nhà trước đây được sử dụng làm trụ sở của Đảng Công nhân Thống nhất Ba Lan (PZPR).",65,năm 1817
